               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082809,            0.025176,            0.033757,             0.16157,              0.2449,             0.15522,            0.047378,            0.087751,            0.015661,            0.033397,             0.00199,             0.00199,             0.08209
                   1,             0.05843,            0.021958,            0.022823,             0.26458,             0.35724,             0.28832,             0.06328,            0.076375,            0.012919,            0.029526,           0.0039555,           0.0039555,            0.064055
                   2,            0.055645,            0.018579,            0.015279,             0.31903,             0.47201,             0.35554,             0.14618,            0.071148,            0.012458,            0.026303,           0.0057848,           0.0057848,            0.045885
                   3,            0.052355,             0.01735,            0.010933,             0.30745,              0.4402,             0.33399,             0.09762,            0.067695,            0.011975,            0.020279,            0.007384,            0.007384,            0.027484
                   4,             0.04816,            0.016439,            0.011002,              0.3395,             0.37263,              0.3155,            0.080657,            0.073921,            0.012583,            0.045064,           0.0086733,           0.0086733,           0.0087733
                   5,             0.04747,             0.01686,            0.013046,             0.31081,             0.36683,             0.29888,             0.10335,            0.071559,            0.013158,            0.031467,           0.0080001,           0.0080001,           0.0080001
                   6,            0.045156,            0.017041,            0.010389,              0.4177,             0.38083,             0.33756,             0.15333,              0.0685,            0.012538,             0.02832,           0.0080001,           0.0080001,           0.0080001
                   7,            0.040984,            0.016583,           0.0088302,             0.68697,              0.3675,             0.44112,             0.21162,            0.068597,            0.013381,            0.039163,           0.0072221,           0.0072221,           0.0072221
                   8,            0.041515,            0.016252,           0.0088051,             0.56469,             0.43404,             0.43697,             0.22284,            0.071589,            0.011946,            0.049596,           0.0063779,           0.0063779,           0.0063779
                   9,            0.039295,            0.015747,           0.0092689,             0.58518,             0.44323,             0.48355,             0.28314,            0.070848,            0.011957,            0.042754,              0.0055,              0.0055,              0.0055
                  10,            0.037103,            0.015645,             0.00758,             0.47716,             0.51554,              0.4729,             0.29385,             0.06286,            0.013406,            0.038261,           0.0046221,           0.0046221,           0.0046221
                  11,            0.034574,            0.015189,            0.005571,             0.53738,             0.47457,             0.46251,             0.31027,            0.059085,            0.013312,            0.048791,           0.0037779,           0.0037779,           0.0037779
                  12,             0.03036,            0.014389,           0.0051485,             0.55337,             0.48165,             0.49817,             0.35172,            0.056953,            0.012982,            0.041204,           0.0029999,           0.0029999,           0.0029999
                  13,            0.030926,            0.014146,           0.0052592,             0.50331,              0.5007,             0.48028,             0.34244,            0.056429,            0.012609,            0.044134,            0.002318,            0.002318,            0.002318
                  14,            0.028356,            0.013779,           0.0047258,             0.52172,              0.4941,             0.48217,             0.34647,            0.054611,            0.012997,            0.041542,           0.0017584,           0.0017584,           0.0017584
                  15,            0.026683,             0.01346,           0.0041892,             0.53061,              0.5007,             0.49768,             0.35545,            0.053365,            0.013103,            0.038595,           0.0013425,           0.0013425,           0.0013425
